Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
baʕd taran mas nasre.,pánjăn năsrḗnde.,And then they were fleeing,,conflict between two groups:01:14.7,0:03.4,1:14.7,1:18.1,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_147-01_181].wav,76132690-1
gare wāšīsan di dōm min hayyamanki;,u gắre wăšī́săn dī nárnă mnḗšmăn;,and there went with them two men from among us;,,conflict between two groups:01:21.5,0:03.4,1:21.5,1:24.9,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_215-01_249].wav,56138043-1
širdom bāyimke knēs gorya ,"Círdōm bó͡iṓmkă ""IInkun yḗḡri.""","I said to my father ""sell it, the horse""",,conflict between two groups:00:15.2,0:04.5,0:15.2,0:19.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_152-00_197].wav,19693845-1
sabaḥtan garēn nandēn absanke qumnad.,"Săbáḥtăn gắrēn, nēn ăbsănkắra ḳes","In the morning we went, brought to them food,",,conflict between two groups:00:52.4,0:02.1,0:52.4,0:54.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_524-00_545].wav,00477009-1
ū eme nasrēn ū garēn ʕala xurān.,"ắme wắzărēn min hnōnʕ, ắrēn Ḥa͡uránătă,","We fled from there, came to the Hauran. ",,conflict between two groups:00:13.3,0:02.0,0:13.3,0:15.2,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_133-00_152].wav,90587774-1
manīre nkīman taran mas ū mre.,wḗsre ŭnkī́imăn tắrăn mas u mreʔ.,They stayed with us three months and died.,,conflict between two groups:01:47.6,0:02.6,1:47.6,1:50.2,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_476-01_502].wav,36230819-1
ū sabaḥtan mīnde ḥalēsan gare.,săbáḥtăn gắre min ŭnkī́imăn. ,In the morning they went from among us. ,,conflict between two groups:00:29.9,0:01.7,0:29.9,0:31.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_299-00_317].wav,21612868-1
gare ū nandessan.,gắre năndḗndsăn.,they went and fetched them.,,conflict between two groups:01:24.9,0:01.9,1:24.9,1:26.8,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_249-01_268].wav,05525377-1
manīre ʕind drūzanka taran mas.,"mánda tắrăn mas, ",They stayed for three months,,conflict between two groups:01:12.8,0:02.0,1:12.8,1:14.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_128-01_147].wav,40170286-1
baʕdēn pandžan nasre.,u minse ḥălḗsăn wắzăre;,and they betook themselves and fled,,conflict between two groups:01:35.1,0:01.5,1:35.1,1:36.6,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_351-01_366].wav,16897450-1
bāyom nandosan ḥākmaske.,"mī́ndă ḥălḗsăn, tirdṓssăn bó͡iōm, tíllă-tmalieskă","(They betook themselves,) my father brought them to the governor",,conflict between two groups:01:26.8,0:01.9,1:26.8,1:28.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_268-01_287].wav,88886291-1
ʕašan kaffilhorsan.,tă-ḳōlắre min elháski,in order that they might be loosened from prison,,conflict between two groups:01:32.6,0:02.5,1:32.6,1:35.1,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_326-01_351].wav,93954377-1
lagiškadēn itam ,Lắgiš-kerde wăšī́imăn.,They quarrelled with us.,,conflict between two groups:00:41.3,0:01.3,0:41.3,0:42.6,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_413-00_426].wav,69875017-1
kunda gorya la kažžak bi talātīn zard.,Kūndă yḗḡru kắjjăkăskă tắrăn das imhīlă u jălăwī́ak. ,He sold the horse to a man for thirty majídis and a cloak. ,,conflict between two groups:00:19.7,0:05.2,0:19.7,0:24.8,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_197-00_248].wav,31007940-1
drūze lagiškade maʕ tmaliyanki,"Štírde min hnōnʕ, lắgiš-kerde Xū́rkăle u tmálie sá͡uă;","The Druzes rose from there, they and the soldiers made a quarrel together;",,conflict between two groups:00:11.1,0:02.2,0:11.1,0:13.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_111-00_133].wav,92648635-1
lakedēn dōmēni,Mī́nden ḥălémăn; lắherdēn Dōmḗni. ,(We betook ourselves): We saw the Dom.,,conflict between two groups:00:39.9,0:01.4,0:39.9,0:41.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_399-00_413].wav,59371913-1
"pandžan garēn nērde emīnke tmaliyēni,",gắre nắnde ăminkắra tmáliăn,"they went, sent soldiers to us,",,conflict between two groups:00:45.5,0:02.0,0:45.5,0:47.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_455-00_475].wav,33180914-1
dfiʕkade arbaʕtaʕšﬁ līra,u tírde das štar zerd,and they paid fourteen pounds,,conflict between two groups:01:30.7,0:01.9,1:30.7,1:32.6,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_307-01_326].wav,29343997-1
mardēnsan ū qērēnsan.,"mărdḗnsăn, ḳārḗnsăn.",We slaughtered and ate them.,,conflict between two groups:01:00.9,0:01.6,1:00.9,1:02.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_009-01_025].wav,68992029-1
eme garēn nawšan ʕala kam dēyamma,Ắme rá͡urdēn ná͡uăne dēimma kám-kerăni. ,"We departed, seeking work in the villages",,conflict between two groups:00:31.7,0:05.6,0:31.7,0:37.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_317-00_373].wav,07940282-1
na faliṭkadēdsan / faliṭkadēssan.,u nī kắjjăk kōldṓssăn min elháski.,and not a man released them from prison.,,conflict between two groups:00:54.5,0:01.6,0:54.5,0:56.1,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_545-00_561].wav,85347762-1
bāyimke kān ašti bol ka. ,Kam bōl kú͡iră bo͡iṓmtă. ,Much work fell to my father.,,conflict between two groups:00:37.3,0:02.6,0:37.3,0:39.9,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_373-00_399].wav,92967095-1
ḥākim ḥbiskadosan,Tíllă-tmáli tirdṓssăn elhásmă,The governor put them in prison,,conflict between two groups:01:28.7,0:02.0,1:28.7,1:30.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_287-01_307].wav,80990491-1
nasre ʕind drūzanki,"gắre Xúrkălăntă, ",They went to the Druzes,,conflict between two groups:01:10.5,0:02.3,1:10.5,1:12.8,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_105-01_128].wav,66408277-1
wasrēn ʕala xorān.,Štírdēn min hnōnm wắzărēn Ḥa͡uránăk-dḗsăstă,"(We rose from there), we fled to the land of Hauran",,conflict between two groups:00:00.0,0:01.5,0:00.0,0:01.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_000-00_015].wav,42436670-1
qēyre ū pīre nkīman,"ḳắre, pī́re, ",They ate and they drank (with us),,conflict between two groups:00:28.3,0:01.6,0:28.3,0:29.9,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_283-00_299].wav,43702017-1
