Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ašti eminke qarā’ibēni hnēna.,ámeʔ ăminkáră ḳauméni ū́dēsăsmă,"""we have relatives in this place.",,quarrel_complete_orthography_changed:00:20.2,0:01.6,0:20.2,0:21.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_202-00_218].wav,74337839-1
"""kēkē lagiškadēs ū marīra taranes?""","""Kḗki lágiš-kerdēs ắtme u mărtre tắrăn kắjjă?","""Why did you quarrel and three men were slain?",,quarrel_complete_orthography_changed:01:06.7,0:01.8,1:06.7,1:08.6,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_067-01_086].wav,76021382-1
širde tmaliye:,Kḗi círde gōrándele?,(what said the horsemen?)/the soldiers saidː ,,quarrel_complete_orthography_changed:00:35.8,0:01.2,0:35.8,0:36.9,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_358-00_369].wav,43186869-1
gare wāšīsan dēyosanka.,Mī́nde ḥălḗsăn u áre wášsăn dḗisintă.,They went to their village. ,,quarrel_complete_orthography_changed:00:57.2,0:01.4,0:57.2,0:58.6,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_572-00_586].wav,89035506-1
kar illi biddak iyyāh mindžīman eme werēni agrīr.,"mítl-mă kerék inkér, u ắmeʔ hătétă wēsrḗni","do as you will, and we are here sitting""",,quarrel_complete_orthography_changed:00:29.8,0:02.3,0:29.8,0:32.1,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_298-00_321].wav,44162560-1
paras ēran ū ēran ū tassan ḥabisma.,pắrus ắrăn u ắrăn u tắssăn inhī́rikăls᷄smă,"take these ones, and those, and put them in the condemned cell. ",,quarrel_complete_orthography_changed:01:08.6,0:02.7,1:08.6,1:11.3,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_086-01_113].wav,37696770-1
marīra mēšīsan taranes.,Mărī́re tắrăn kắjjă.,three men were killed.,,quarrel_complete_orthography_changed:00:59.7,0:01.7,0:59.7,1:01.4,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_597-01_014].wav,30392891-1
awas wāšīman džan dēyomanka,Hắlli ján dḗimintă. ,Let us go to our own village.,,quarrel_complete_orthography_changed:00:52.9,0:02.8,0:52.9,0:55.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_529-00_557].wav,93047711-1
"xallīhom ḥabisma talātīn wars.""","u cnḗs ătsúntă tắrăn dás wárs.""","and keep them in prison thirty years.""",,quarrel_complete_orthography_changed:01:11.3,0:03.5,1:11.3,1:14.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_113-01_147].wav,39919908-1
itme qaftinnehresi.,"cìrde tmálie ""Kauténi ḥrési""","the soldiers said ""You are thieves""",,quarrel_complete_orthography_changed:00:04.8,0:01.3,0:04.8,0:06.0,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_048-00_060].wav,39244049-1
w-eme hessaʕ agrīr hnēni.,"(yá tíllă-tmáli), u dmeʔ hă agrér hrḗni;","(o governor), and here we are before you;",,quarrel_complete_orthography_changed:00:27.8,0:02.0,0:27.8,0:29.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_278-00_298].wav,09193036-1
hassaʕ itme awas wāšīman.,"yá ḳaumḗmăn, u hat ắrēn, u štás waštmăn.","(o our people) and behold we have come, and rise with us",,quarrel_complete_orthography_changed:00:51.2,0:01.7,0:51.2,0:52.9,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_512-00_529].wav,77110661-1
ū ērēn lakedērran.,u ắrēn u lăherd᷄răn,and came and saw you,,quarrel_complete_orthography_changed:00:49.9,0:01.3,0:49.9,0:51.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_499-00_512].wav,38166305-1
ere tmaliye mīndēssan,,The soldiers came and took them,,quarrel_complete_orthography_changed:01:01.4,0:01.9,1:01.4,1:03.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_014-01_032].wav,34492356-1
bandēsan.,ktíf-kerdēnsăn,bound them,,quarrel_complete_orthography_changed:00:12.2,0:01.0,0:12.2,0:13.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_122-00_132].wav,91199812-1
nandēdman aburke.,gārnaurdḗndmăn ăbúrkă,they made us come to you,,quarrel_complete_orthography_changed:00:26.7,0:01.1,0:26.7,0:27.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_267-00_278].wav,55113166-1
falitkidesan.,wárt-kerdēndsăn.,They loosened them. ,,quarrel_complete_orthography_changed:00:41.7,0:01.0,0:41.7,0:42.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_417-00_427].wav,55715781-1
ašti di bare,"Ášte diésni, baréni",There were two who were brothers,,quarrel_complete_orthography_changed:00:00.0,0:02.2,0:00.0,0:02.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_000-00_022].wav,62372794-1
u pardēdman qādiyaske.,"u gārnaurdḗndmăn tílla-tmaliéskă, ","and made us return to the governor,",,quarrel_complete_orthography_changed:00:47.2,0:01.2,0:47.2,0:48.4,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_472-00_484].wav,47925745-1
mīndēsan tmaliye pandasma.,mīndnsăn pándăsmă tmálie.,soldiers took them on the road.,,quarrel_complete_orthography_changed:00:03.0,0:01.8,0:03.0,0:04.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_030-00_048].wav,95485021-1
širda ḥākim:,Gá-kerdă tíllă-tmáli,the governor saidː,,quarrel_complete_orthography_changed:01:05.4,0:01.3,1:05.4,1:06.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_054-01_067].wav,57057675-1
